id,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,Price,mileage,engine,power,new_price,Brand,Model
0,Mumbai,2010,72000,CNG,Manual,First,5,1.75,26.6,998,58.16,,maruti,wagon
1,Pune,2015,41000,Diesel,Manual,First,5,12.5,19.67,1582,126.2,,hyundai,creta
2,Chennai,2011,46000,Petrol,Manual,First,5,4.5,18.2,1199,88.7,8.61,honda,jazz
3,Chennai,2012,87000,Diesel,Manual,First,7,6,20.77,1248,88.76,,maruti,ertiga
4,Coimbatore,2013,40670,Diesel,Automatic,Second,5,17.74,15.2,1968,140.8,,audi,a4
5,Hyderabad,2012,75000,LPG,Manual,First,5,2.35,21.1,814,55.2,,hyundai,eon
6,Jaipur,2013,86999,Diesel,Manual,First,5,3.5,23.08,1461,63.1,,nissan,micra
7,Mumbai,2016,36000,Diesel,Automatic,First,8,17.5,11.36,2755,171.5,21,toyota,innova
8,Pune,2013,64430,Diesel,Manual,First,5,5.2,20.54,1598,103.6,,volkswagen,vento
9,Chennai,2012,65932,Diesel,Manual,Second,5,1.95,22.3,1248,74,,tata,indica
10,Kochi,2018,25692,Petrol,Manual,First,5,9.95,21.56,1462,103.25,10.65,maruti,ciaz
11,Kolkata,2012,60000,Petrol,Automatic,First,5,4.49,16.8,1497,116.3,,honda,city
12,Jaipur,2015,64424,Diesel,Manual,First,5,5.6,25.2,1248,74,,maruti,swift
13,Delhi,2014,72000,Diesel,Automatic,First,5,27,12.7,2179,187.7,,land,rover
14,Pune,2012,85000,Diesel,Automatic,Second,5,17.5,,2179,115,,land,rover
15,Delhi,2014,110000,Diesel,Manual,First,7,15,13.5,2477,175.56,32.01,mitsubishi,pajero
16,Kochi,2016,58950,Diesel,Manual,First,5,5.4,25.8,1498,98.6,,honda,amaze
17,Jaipur,2017,25000,Diesel,Manual,First,5,5.99,28.4,1248,74,,maruti,swift
18,Kochi,2014,77469,Diesel,Manual,First,5,6.34,20.45,1461,83.8,,renault,duster
19,Bangalore,2014,78500,Diesel,Automatic,First,5,28,14.84,2143,167.62,,mercedes-benz,new
20,Kochi,2014,32982,Diesel,Automatic,First,5,18.55,22.69,1995,190,47.87,bmw,3
21,Bangalore,2015,55392,Diesel,Manual,Second,5,8.25,23.65,1248,88.5,,maruti,s
22,Mumbai,2015,55985,Petrol,Automatic,First,5,23.5,13.53,1984,177.01,,audi,a6
23,Kolkata,2010,45807,Petrol,Manual,First,5,1.87,18.5,1197,80,,hyundai,i20
24,Kolkata,2010,33000,Petrol,Automatic,First,5,2.85,14.4,1598,103.6,,volkswagen,vento
25,Mumbai,2012,51920,Petrol,Manual,First,5,4.25,16.8,1497,116.3,,honda,city
26,Hyderabad,2012,54000,Diesel,Manual,First,5,4.25,23.08,1461,63.1,,nissan,micra
27,Hyderabad,2013,54000,Petrol,Manual,Second,5,2.75,20.92,998,67.1,,maruti,alto
28,Kochi,2018,37430,Petrol,Manual,First,5,9.9,17.5,1199,88.7,10.57,honda,wrv
29,Mumbai,2007,262000,Diesel,Manual,Fourth & Above,7,4,12.8,2494,102,,toyota,innova
30,Bangalore,2013,62000,Diesel,Manual,First,5,7.75,19.01,1461,108.45,,renault,duster
31,Delhi,2012,87615,Petrol,Manual,First,5,6.75,14.53,1798,138.1,,toyota,corolla
32,Bangalore,2013,72000,Diesel,Automatic,Second,7,12.5,11.18,2696,184,,mahindra,ssangyong
33,Kolkata,2010,35000,Diesel,Automatic,First,5,11.5,12.4,2698,179.5,,audi,a6
34,Coimbatore,2014,55431,Petrol,Manual,Second,5,6.98,16.09,1598,103.5,12.33,volkswagen,vento
35,Jaipur,2009,83816,Petrol,Manual,Second,5,1.85,14,1061,64,,maruti,wagon
36,Kochi,2018,50075,Diesel,Manual,First,5,8.63,24.3,1248,88.5,11.12,maruti,vitara
37,Delhi,2017,52000,Petrol,Manual,First,5,4.85,18.15,1198,82,,mahindra,kuv
38,Pune,2013,85000,Diesel,Automatic,First,5,28,11.74,2987,254.8,,mercedes-benz,m-class
39,Chennai,2013,62000,Diesel,Manual,First,5,5,22.07,1199,73.9,,volkswagen,polo
40,Delhi,2008,90000,Petrol,Manual,Second,5,1.25,19.7,796,46.3,,maruti,alto
41,Kochi,2014,19698,Petrol,Manual,First,4,1.53,25.4,624,37.5,,tata,nano
42,Coimbatore,2017,22033,Diesel,Manual,First,6,5.58,25.32,1198,77,,mahindra,kuv
43,Kochi,2014,35487,Petrol,Manual,First,5,4.74,18.5,1197,82.9,,hyundai,i20
44,Bangalore,2014,46374,Petrol,Automatic,First,5,8.85,14.62,1999,149.92,23.64,hyundai,elantra
45,Mumbai,2016,52001,Petrol,Automatic,First,5,10.11,14.28,1798,138.03,,toyota,corolla
46,Ahmedabad,2008,58005,Diesel,Manual,Second,5,4.25,14.9,1991,112.2,,hyundai,elantra
47,Bangalore,2012,70704,Petrol,Manual,First,7,10.95,11.25,2694,163.7,18.64,toyota,innova
48,Jaipur,2014,75000,Diesel,Manual,First,5,3.85,24.4,1120,71,,hyundai,xcent
49,Jaipur,2012,75800,Diesel,Manual,Second,6,5.5,16.55,2498,105,,mahindra,thar
50,Kochi,2015,13648,Diesel,Automatic,First,5,21.43,17.11,1968,174.33,,audi,a4
51,Delhi,2014,52000,Diesel,Manual,First,5,4.25,22.9,1248,74,,maruti,swift
52,Kolkata,2014,53000,Diesel,Manual,First,5,3.3,17.8,1248,75,,maruti,swift
53,Delhi,2013,65650,Diesel,Manual,First,5,3.85,28.4,1248,74,,maruti,swift
54,Chennai,2015,54000,Petrol,Manual,Third,5,3.6,18.9,1197,82,,hyundai,grand
55,Kolkata,2015,39000,Petrol,Manual,First,5,3.99,15.04,1598,103.2,,volkswagen,vento
56,Kochi,2017,16542,Petrol,Manual,First,5,3.3,25.17,799,53.3,,renault,kwid
57,Kolkata,2010,32000,Petrol,Manual,First,5,2.07,20.36,1197,78.9,,hyundai,i10
58,Hyderabad,2010,121812,Diesel,Automatic,First,5,7.75,13.29,1995,147.6,,nissan,x-trail
59,Hyderabad,2010,39300,Petrol,Manual,First,5,2.25,18.2,998,67.1,,maruti,zen
60,Mumbai,2017,22000,Diesel,Manual,First,8,16.5,13.68,2393,147.8,19.34,toyota,innova
61,Bangalore,2010,72000,Diesel,Manual,First,5,2.75,20,1399,68,,ford,figo
62,Delhi,2015,58000,Petrol,Automatic,First,5,26.7,11.74,1796,186,,mercedes-benz,new
63,Pune,2011,65000,Diesel,Manual,Second,5,10,15.8,2148,170,,mercedes-benz,new
64,Chennai,2016,178000,Diesel,Manual,First,5,2.5,25,1396,69,,tata,indica
65,Jaipur,2012,65664,Diesel,Automatic,First,5,13.5,16.55,1968,140,,audi,a4
66,Mumbai,2007,63000,Petrol,Automatic,Second,5,1.85,16.4,1497,78,,honda,city
67,Coimbatore,2019,15369,Diesel,Automatic,First,5,35.67,,1950,194,49.14,mercedes-benz,c-class
68,Pune,2016,63000,Diesel,Manual,First,7,8.15,24.52,1248,88.5,,maruti,ertiga
69,Mumbai,2018,13000,Diesel,Manual,First,5,10.5,22.1,1396,88.7,11.81,hyundai,creta
70,Mumbai,2008,73000,Petrol,Automatic,First,5,14.5,8.5,4806,500,,porsche,cayenne
71,Mumbai,2015,55729,Diesel,Manual,First,7,9.65,15.1,2179,140,,mahindra,xuv500
72,Kochi,2012,45178,Petrol,Automatic,First,5,3.48,16.95,1197,78.9,,hyundai,i10
73,Kochi,2015,56066,Diesel,Manual,First,5,6.92,19.64,1461,108.5,16.65,nissan,terrano
74,Coimbatore,2016,37300,Petrol,Automatic,Second,5,6.46,16.5,1198,86.8,,honda,brio
75,Delhi,2014,56000,Diesel,Automatic,Second,5,29.5,18.53,1968,187.74,,audi,a6
76,Jaipur,2008,111111,Diesel,Manual,First,5,2,17.8,1399,,,ford,fiesta
77,Chennai,2006,230000,Petrol,Manual,Third,8,4.5,12.4,1998,132,,toyota,innova
78,Hyderabad,2012,104000,Diesel,Manual,First,7,11.75,12.8,2494,102,,toyota,innova
79,Hyderabad,2005,87591,Petrol,Manual,First,5,1.3,,1086,,,hyundai,santro
80,Jaipur,2012,95100,Diesel,Manual,First,5,3.75,22.9,1248,74,,maruti,swift
81,Pune,2017,70000,Petrol,Manual,First,5,4.5,17.57,1193,88.7,6.67,tata,zest
82,Kochi,2016,54944,Petrol,Manual,First,5,4.82,18,1198,86.7,,honda,amaze
83,Hyderabad,2012,70337,Diesel,Manual,First,5,2.8,20,1399,68,,ford,figo
84,Jaipur,2013,99638,Diesel,Manual,First,5,3.11,23.2,1248,73.94,,maruti,ritz
85,Delhi,2009,52000,Petrol,Manual,First,5,3.25,17.8,1497,117.3,,honda,city
86,Delhi,2011,75000,Diesel,Automatic,Second,5,13.9,16.73,1995,218,,bmw,5
87,Pune,2009,95980,Petrol,Manual,First,5,2.25,20.36,1197,78.9,,hyundai,i10
88,Bangalore,2016,16000,Petrol,Manual,First,5,5.75,18.9,1197,82,,hyundai,grand
89,Hyderabad,2007,73745,Petrol,Manual,First,5,2.1,17,1086,,,hyundai,santro
90,Mumbai,2016,18949,Petrol,Manual,First,5,5,17.8,1198,86.7,,honda,amaze
91,Delhi,2014,107000,Diesel,Manual,First,7,16.5,13,2982,168.5,,toyota,fortuner
92,Coimbatore,2018,48367,Diesel,Automatic,First,5,39.58,17.68,1968,174.33,,audi,a6
93,Delhi,2013,57000,Diesel,Manual,First,5,5.5,22.7,1498,89.84,,ford,ecosport
94,Delhi,2014,58000,Diesel,Manual,First,7,8.1,15.1,2179,140,,mahindra,xuv500
95,Kolkata,2015,30000,Diesel,Manual,First,5,3.5,25.8,1498,98.6,,honda,amaze
96,Kolkata,2013,34212,Diesel,Manual,First,5,2.79,22.07,1199,73.9,,volkswagen,polo
97,Ahmedabad,2010,70002,Diesel,Manual,First,5,3.45,16.2,1493,110,,hyundai,verna
98,Bangalore,2016,62000,Petrol,Manual,First,5,4.45,18.9,998,67.1,,maruti,wagon
99,Delhi,2010,62001,Petrol,Manual,First,5,2.65,15.26,1598,103.5,,volkswagen,polo
100,Pune,2011,78958,Diesel,Manual,Second,5,3.8,23,1396,90,,hyundai,i20
101,Mumbai,2014,30180,Petrol,Manual,First,5,4.65,18.5,1197,82.85,,hyundai,i20
102,Pune,2017,32851,Petrol,Manual,First,7,3.95,19.83,1198,67,6.45,datsun,go
103,Kolkata,2010,30000,Diesel,Automatic,First,5,9.8,14.94,2967,241.4,,audi,a4
104,Pune,2009,66000,Petrol,Manual,Second,5,2.7,17,1197,80,,hyundai,i20
105,Coimbatore,2010,93850,Petrol,Manual,First,5,2.41,14,796,35,,maruti,omni
106,Ahmedabad,2014,53000,Petrol,Manual,First,5,3.9,17.71,1197,78.9,6.41,toyota,etios
107,Hyderabad,2011,78000,Diesel,Automatic,Second,5,24,14.74,2993,270.9,,jaguar,xf
108,Delhi,2012,65000,Diesel,Manual,Second,7,5.75,16,2179,140,,mahindra,xuv500
109,Kolkata,2014,40000,Diesel,Automatic,First,5,5.25,22.32,1582,126.32,,hyundai,verna
110,Mumbai,2017,30000,Diesel,Automatic,First,7,19.25,11.36,2755,171.5,27,toyota,innova
111,Coimbatore,2017,38053,Petrol,Manual,First,5,3.91,15.1,1196,73,5.13,maruti,eeco
112,Bangalore,2014,25500,Petrol,Manual,First,4,2.15,25.4,624,37.5,,tata,nano
113,Mumbai,2015,56087,Diesel,Automatic,First,5,20.75,22.69,1995,190,54.43,bmw,3
114,Delhi,2010,71088,Petrol,Manual,First,5,3.35,13.5,1799,130,,honda,civic
115,Ahmedabad,2014,55000,Diesel,Manual,First,7,11.11,12.99,2494,100.6,,toyota,innova
116,Bangalore,2014,32700,Diesel,Automatic,First,5,20,23.3,1984,150,,volvo,v40
117,Coimbatore,2016,39882,Petrol,Automatic,First,5,6.55,19.15,1198,75.94,9.51,nissan,micra
118,Mumbai,2009,128000,Petrol,Automatic,First,5,7,10.8,2497,215,,bmw,5
119,Mumbai,2016,55000,Diesel,Manual,First,5,7.5,24.3,1248,88.5,9.96,maruti,vitara
120,Mumbai,2005,102000,Petrol,Manual,Second,5,0.85,17,1086,,,hyundai,santro
121,Pune,2014,53753,Diesel,Automatic,Second,5,16.75,15,2143,107.3,,mercedes-benz,b
